DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
117,-36.1041,-15.4883,26.4873,-2.7581,0.0,-51.5924,23.7292,-27.8632
118,-35.8729,-15.2866,28.8942,-2.606,0.0,-51.1595,26.2882,-24.8713
119,-37.7254,-11.7116,26.8039,-2.5119,0.0,-49.437,24.292,-25.145
120,-36.6531,-13.6336,27.1975,-2.6243,0.0,-50.2867,24.5732,-25.7135
121,-37.3356,-13.3602,28.851,-2.603,0.0,-50.6958,26.248,-24.4478
122,-37.2974,-14.9124,29.0027,-2.7017,0.0,-52.2098,26.301,-25.9088
123,-35.1962,-12.0329,27.0181,-2.6471,0.0,-47.2291,24.371,-22.8581
124,-35.8449,-10.3868,23.1306,-2.7227,0.0,-46.2317,20.4079,-25.8238
125,-32.5286,-15.0977,25.4559,-2.5983,0.0,-47.6263,22.8576,-24.7687
126,-36.3542,-10.3421,24.5604,-2.6741,0.0,-46.6963,21.8863,-24.81
127,-32.9454,-16.154,28.3963,-2.5491,0.0,-49.0994,25.8472,-23.2522
128,-36.18,-17.8298,26.718,-2.688,0.0,-54.0098,24.03,-29.9798
129,-32.9936,-15.9554,23.7651,-2.4405,0.0,-48.949,21.3246,-27.6244
130,-34.9049,-16.4245,27.3863,-2.6021,0.0,-51.3294,24.7842,-26.5452
131,-35.0048,-17.6369,26.8848,-2.6197,0.0,-52.6417,24.2651,-28.3766
132,-34.8733,-13.8994,27.7526,-2.6168,0.0,-48.7727,25.1358,-23.6369
133,-36.938,-14.935,26.2445,-2.5715,0.0,-51.873,23.673,-28.2
134,-36.821,-18.6664,27.9539,-2.5393,0.0,-55.4874,25.4146,-30.0728
135,-38.4596,-15.3114,28.9457,-2.6576,0.0,-53.771,26.2881,-27.4829
136,-37.4459,-17.351,28.1528,-2.6619,0.0,-54.7969,25.4909,-29.306
137,-39.3569,-14.6006,28.2885,-2.6138,0.0,-53.9575,25.6747,-28.2828
138,-37.3705,-10.634,24.0952,-2.5939,0.0,-48.0045,21.5013,-26.5032
139,-36.1068,-16.5544,26.9923,-2.5395,0.0,-52.6612,24.4528,-28.2084
140,-32.9707,-14.7494,26.8482,-2.7026,0.0,-47.7201,24.1456,-23.5745
141,-34.7019,-13.8304,25.5908,-2.6657,0.0,-48.5323,22.9251,-25.6072
142,-38.8063,-9.6497,24.4662,-2.6526,0.0,-48.456,21.8136,-26.6424
143,-40.1756,-15.0465,25.8942,-2.5373,0.0,-55.2221,23.3569,-31.8652
144,-36.0615,-15.5954,27.1931,-2.6145,0.0,-51.6569,24.5786,-27.0783
145,-36.0613,-14.6962,28.7798,-2.6069,0.0,-50.7575,26.1729,-24.5846
146,-34.3618,-15.3238,27.0164,-2.7055,0.0,-49.6856,24.3109,-25.3747
147,-31.3382,-18.8068,28.6112,-2.7253,0.0,-50.145,25.8859,-24.2591
148,-35.2653,-14.7414,28.5472,-2.5384,0.0,-50.0067,26.0088,-23.9979
149,-39.8289,-15.9996,26.7734,-2.6368,0.0,-55.8285,24.1366,-31.6919
150,-35.3521,-15.9214,28.4951,-2.6077,0.0,-51.2735,25.8874,-25.3861
151,-38.3988,-15.799,28.3361,-2.6242,0.0,-54.1978,25.7119,-28.4859
152,-37.7869,-14.7637,29.2313,-2.688,0.0,-52.5506,26.5433,-26.0073
153,-34.7871,-14.8604,27.3067,-2.6259,0.0,-49.6475,24.6808,-24.9667
154,-38.1352,-14.9629,26.741,-2.5957,0.0,-53.0981,24.1453,-28.9528
155,-37.295,-10.6633,28.0535,-2.7951,0.0,-47.9583,25.2584,-22.6999
156,-37.9315,-11.8358,24.1853,-2.5952,0.0,-49.7673,21.5901,-28.1772
157,-41.2956,-11.916,27.6141,-2.5446,0.0,-53.2116,25.0695,-28.1421
158,-39.7015,-12.5865,26.6532,-2.536,0.0,-52.288,24.1172,-28.1708
159,-34.6226,-13.718,23.0988,-2.4235,0.0,-48.3406,20.6753,-27.6653
160,-37.8997,-16.5273,27.0548,-2.4684,0.0,-54.427,24.5864,-29.8406
161,-38.7523,-15.1787,28.8891,-2.4515,0.0,-53.931,26.4376,-27.4934
162,-37.9125,-16.8483,26.8654,-2.4695,0.0,-54.7608,24.3959,-30.3649
163,-36.5942,-10.8901,26.9225,-2.6307,0.0,-47.4843,24.2918,-23.1925
164,-37.8974,-16.007,27.9132,-2.5929,0.0,-53.9044,25.3203,-28.5841
165,-37.5488,-16.8263,28.9147,-2.5402,0.0,-54.3751,26.3745,-28.0006
166,-37.2005,-12.3752,27.7465,-2.73,0.0,-49.5757,25.0165,-24.5592
167,-40.6909,-11.6451,26.5918,-2.6108,0.0,-52.336,23.981,-28.355
168,-36.4821,-16.5442,29.8931,-2.6449,0.0,-53.0263,27.2482,-25.7781
169,-38.098,-13.3874,26.2323,-2.5026,0.0,-51.4854,23.7297,-27.7557
170,-37.9603,-14.2632,26.9887,-2.699,0.0,-52.2235,24.2897,-27.9338
171,-37.4412,-12.8907,25.7863,-2.6744,0.0,-50.3319,23.1119,-27.22
172,-36.072,-11.1848,25.1472,-2.6458,0.0,-47.2568,22.5014,-24.7554
173,-36.3414,-11.0464,26.2132,-2.5647,0.0,-47.3878,23.6485,-23.7393
174,-37.6799,-11.2962,28.2612,-2.6846,0.0,-48.9761,25.5766,-23.3995
175,-37.3946,-15.1439,25.1508,-2.5106,0.0,-52.5385,22.6402,-29.8983
176,-36.731,-14.7668,27.0262,-2.5579,0.0,-51.4978,24.4683,-27.0295
177,-33.5635,-14.6911,24.9654,-2.4672,0.0,-48.2546,22.4982,-25.7564
178,-39.2707,-12.3975,26.3584,-2.6284,0.0,-51.6682,23.73,-27.9382
179,-36.7114,-9.3006,22.8668,-2.4458,0.0,-46.012,20.421,-25.591
180,-41.3425,-7.6896,24.9018,-2.5746,0.0,-49.0321,22.3272,-26.7049
181,-39.0756,-11.9371,28.3713,-2.5247,0.0,-51.0127,25.8466,-25.1661
182,-40.4431,-10.6087,25.3931,-2.4923,0.0,-51.0518,22.9008,-28.151
